DATE-TIME ,USER INPUT,ROBOT RESPONSE,LOG BUTTON,NUMBER OF PEOPLE,TURN,COMMENT
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:18,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you need any information or directions, feel free to ask. I'm here to help!",,,22,
,,,,,,person said hello pepper and continued walking
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,ACKNOWLEDGED,,,
,,,NEW PERSON,1,,
03-07-2023 11:18,Angry Bird your friend me real bad Companions and here's a chance,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today?",,,23,
03-07-2023 11:18,turn on the see stance where is the where is the cafe,"Sure, I'd be happy to help you find the cafe. The cafe is located on this floor, straight ahead. You can't miss it! Enjoy your visit!",,,24,
03-07-2023 11:19,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,25,
03-07-2023 11:19,turn around,"I'm sorry, but as a robot stationed at the reception, I'm unable to physically turn around. However, I'm here to assist you with any questions or directions you may need. How can I help you today?",,,26,
,,,,,,dialogflow doesnt record all user speech
03-07-2023 11:19,Medical,Hello! How can I assist you today? Are you looking for any specific medical facility or service on campus?,,,27,
,,,,,,speech in different language not recoredeed
03-07-2023 11:20,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,28,
03-07-2023 11:20,hi hi thank you so much,Hi there! You're welcome! How can I assist you today?,,,29,
,,,,,,"person  asked to take pic with robot, dialogflow did  not record speech"
03-07-2023 11:21,room,"Hello! How can I assist you today? Are you looking for directions to a specific room? Please provide me with the room number or any other details you have, and I'll do my best to help you.",,,30,
03-07-2023 11:21,the match,Hello! How can I assist you today?,,,31,
,,,,,,4 people are interating at a time not 3
03-07-2023 11:21,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,32,
03-07-2023 11:22,do where do not know now,"Hello there! How can I assist you today? If you have any questions or need directions around the campus, feel free to ask!",,,33,
03-07-2023 11:22,elevator on YouTube you can give him every time two times too every day,"I'm sorry, but I'm not able to access YouTube or play music. However, if you have any questions or need assistance with directions around the campus, I'm here to help!",,,34,
,,,,,,does not pick up speech
,END,,,,,
03-07-2023 11:22,bye,"Goodbye! If you have any more questions in the future, feel free to ask. Have a great day!",,,35,
,,,,,,person asked about taking care of their cats
03-07-2023 11:23,is it going to,"Is it going to rain today? I'm sorry, but I don't have access to real-time weather information. You can check the weather forecast on a weather website or app for the most accurate information. Is there anything else I can assist you with?",,,36,
03-07-2023 11:23,how do you spell,"Sure, I can help you with spelling. Please let me know the word you would like me to spell for you.",,,37,
03-07-2023 11:24,basket,Hello! How can I assist you today?,,,38,
