,,,ACKNOWLEDGED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:11:49,Angry Bird your friend me real bad companion and here's a chance,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today?",,,20,
,,,NEW PERSON,4,,
,,,,,,people take photos and leave
03/07/2023 13:12:47, after class,Hello! How can I assist you today?,,,21,
,,,,,,interaction interrupted
03/07/2023 13:13:04,after class how,"Hi there! After your class, what can I assist you with? Do you need directions to a specific place on campus or any other information? Just let me know!",,,22,
,,,NEW PERSON,2,,
,,,DROPOUT,,,
03/07/2023 13:13:25,where can I buy an adapter for my socket don't look at me like that,"Oh, I'm sorry if I gave you a strange look. You can purchase an adapter for your socket at the VU Bookstore. It is located on the ground floor of the Main Building. They usually have a variety of adapters available.",,,23,
,,,,,,person left before robot replied
03/07/2023 13:13:45,is the first 20000 OK you can just say no if you don't want to,"No, that's not a problem. How can I assist you today?",,,24,
03/07/2023 13:14:08,you just to want to help out or would you rather just go to class,Pepper is here to help you out! Assisting students and visitors is my primary job. I don't attend classes as I am a robot designed for reception tasks. How can I assist you today?,,,25,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,,,,people weer discussng around the robot
,,,IGNORED,,,
03/07/2023 13:14:45,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to help you with directions. Just let me know where you'd like to go, and I'll provide you with the directions. How can I assist you today?",,,26,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,IGNORED,,,
03/07/2023 13:15:09,Angry Bird your friend me real bad companion and here's a chance,"Hello! I'm Pepper, the friendly robot at the reception. How can I assist you today?",,,27,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
03/07/2023 13:15:33,greetings looking for some information or directions just ask me,"Hello! How can I assist you today? If you need any information or directions, feel free to ask.",,,28,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
,,,,,,people looked and left
,,,NEW PERSON,3,,
03/07/2023 13:16:20,hey,Hello there! How can I assist you today?,,,29,
03/07/2023 13:16:35,you're so pretty,Thank you for the compliment! I'm here to assist you with any questions or directions you may need. How can I help you today?,,,30,
03/07/2023 13:16:48,Bookshop,Hello there! How can I assist you today? Are you looking for the VU Bookstore located in the Main Building?,,,31,
,,,DROPOUT,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03/07/2023 13:17:20,hi I'm your friendly robot companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,32,
,,,IGNORED,,,people left 
,,,IGNORED,,,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
,,,IGNORED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03/07/2023 13:18:23,Angry Bird your friendly robot companion and here's a chance,"Hello there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,33,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:18:51,greetings looking for some information or directions just ask me,"Hello! How can I assist you today? If you need any information or directions, feel free to ask.",,,34,
,,,,,,person takes photo and leaves
,,,IGNORED,,,
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,ACKNOWLEDGED,,,
,,,IGNORED,,,
03/07/2023 13:19:33,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. I'm here to assist you with any directions or information you need. How can I help you today?",,,35,
,,,IGNORED,,,
,,,IGNORED,,,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:20:01,grocery store Nu,"The nearest grocery store is Albert Hein To Go, located 350 meters away. To get there, go straight ahead and exit through the other entrance, and then turn left. Enjoy your shopping!",,,36,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
03/07/2023 13:20:22,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. How can I assist you today? Do you need directions to a specific place on campus? Just let me know and I'll be happy to help you find your way.",,,37,
,,,,,,random noise recognized as albert heijn
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,IGNORED,,,
03/07/2023 13:21:33,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, the friendly robot receptionist. I'm here to help you with directions and any other information you may need. Just let me know where you would like to go, and I'll provide you with the directions. How can I assist you today?",,,38,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:22:34,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to assist you. How can I help you today? Do you need directions to a specific place on campus or do you have any other questions? Just let me know!",,,39,
,,,,,,person smiles at robot and continues
,,,ACKNOWLEDGED,,,
,,,,,,person looks at robot and leaves
,,,NEW PERSON,3,,
03/07/2023 13:23:43,I need directions are just feel like heading I'm here for you,"Hello! I'm Pepper, the friendly robot at the reception. How can I assist you today? Do you need directions to a specific place on campus? Just let me know and I'll be happy to help you find your way.",,,40,
,,,,,,person looks at  tablet for map and walks off 
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:24:30,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. How can I assist you today? Do you need directions to a specific place on campus? Just let me know!",,,41,
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,IGNORED,,,
,,,IGNORED,,,
03/07/2023 13:25:02,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, the friendly robot at the reception. I'm here to assist you with directions and any other information you may need. How can I help you today?",,,42,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,IGNORED,,,
03/07/2023 13:25:40,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? If you need directions or have any questions, feel free to ask!",,,43,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:26:37,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to assist you. How can I help you today? Do you need directions to a specific place on campus, or do you have any other questions?",,,44,
,,,,,,person smiles at robot and walks off
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03/07/2023 13:27:11,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to assist you. How can I help you today? Do you need directions to a specific place on campus?",,,45,
,,,ACKNOWLEDGED,,,
,,,,,,person looked and left
,,,IGNORED,,,
,,,IGNORED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03/07/2023 13:27:56,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. I'm here to assist you with any directions or information you may need. How can I help you today?",,,46,
,,,IGNORED,,,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,IGNORED,,,
,,,IGNORED,,,
,,,IGNORED,,,
03/07/2023 13:28:42,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus or do you have any questions? Just let me know and I'll be happy to help you out!",,,47,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
03/07/2023 13:29:02,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. How can I assist you today? Are you looking for directions or do you have any questions about the campus?",,,48,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,NEW PERSON,1,,
03/07/2023 13:29:45,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. I'm here to assist you with directions and any other information you may need. How can I help you today?",,,49,
,,,ACKNOWLEDGED,,,
,,,,,,person observes robot and leaves
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
03/07/2023 13:30:39,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to help you with directions. Just let me know where you'd like to go, and I'll provide you with the directions. How can I assist you today?",,,50,
,,,ACKNOWLEDGED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:31:09,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus? Just let me know and I'll be happy to help you out!",,,51,
03/07/2023 13:31:34,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. I'm here to help you with directions and any questions you may have. How can I assist you today?",,,52,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,IGNORED,,,
03/07/2023 13:31:56,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. How can I assist you today? Do you need directions to a specific place on campus? Just let me know where you'd like to go, and I'll be happy to help you out!",,,53,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,NEW PERSON,1,,
03/07/2023 13:32:28,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. I'm here to help you with directions and any other information you may need. Just let me know where you want to go, and I'll provide you with the directions. How can I assist you today?",,,54,
03/07/2023 13:32:41,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to help you with directions around the campus. How can I assist you today?",,,55,
,,,DROPOUT,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03/07/2023 13:33:17,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, standing here at the reception. How can I assist you today? If you need directions or have any questions, feel free to ask!",,,56,
,,,,,,dialogflow did not record/recognize user request
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,IGNORED,,,
03/07/2023 13:34:00,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to assist you with directions around the campus. How can I help you today?",,,57,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,IGNORED,,,
,,,IGNORED,,,
03/07/2023 13:34:48,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. I'm here to assist you with any directions you may need. Just let me know where you would like to go, and I'll provide you with the directions. How can I assist you today?",,,58,
,,,ACKNOWLEDGED,,,
,,,DROPOUT,,,
03/07/2023 13:35:20,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus or do you have any other questions? Just let me know and I'll be happy to help you out!",,,59,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
03/07/2023 13:35:50,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to assist you. How can I help you today? Do you need directions to a specific place on campus?",,,60,
,,,,,,peopl did not wait for robot to reply
,,,IGNORED,,,
,,,IGNORED,,,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:36:29,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. How can I assist you today? Do you need directions to a specific place on campus? Just let me know and I'll be happy to help you out!",,,61,
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,IGNORED,,,
,,,IGNORED,,,
03/07/2023 13:36:56,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. I'm here to help you with any directions or information you need. Just let me know where you want to go or what you're looking for, and I'll do my best to assist you. How can I help you today?",,,62,
,,,ACKNOWLEDGED,,,
03/07/2023 13:37:40,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. I'm here to help you with directions and any other information you may need. How can I assist you today?",,,63,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:38:15,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus? Just let me know where you want to go, and I'll be happy to help you find your way.",,,64,
,,,,,,person looked at robot and left
,,,NEW PERSON,2,,
03/07/2023 13:38:40,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus? Just let me know where you'd like to go, and I'll be happy to help you with the directions.",,,65,
03/07/2023 13:39:04,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to assist you. How can I help you today? Do you need directions to a specific place on campus, or do you have any other questions? Just let me know, and I'll be happy to assist you!",,,66,
,,,,,,place recognized but pepper did not respond
,,,,,,dialogflow stopped working
,,,QUIT,,,
