DATE-TIME,USER INPUT,ROBOT RESPONSE,LOG BUTTON,NUMBER OF PEOPLE,TURN,COMMENT
30-06-2023 16:22,hey do you like having a conversation I'm here to listen and chant,"Hey there! I'm Pepper, the friendly robot at the reception. I'm always here to have a conversation and help you out with any questions or directions you might need. How can I assist you today?",,,31,
,,,"INVITE: Hey, feel like having a conversation? I'm here to listen and chat!",,,
,,,IGNORED,,,
30-06-2023 16:23,hey feel like having a conversation I'm here to listen and chant,"Hey there! I'm Pepper, the friendly robot at the reception. I'm always up for a chat. How can I assist you today?",,,32,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,NEW PERSON,1,,
30-06-2023 16:23,hi I'm your friendly robot companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,33,
,,,,,,"person looks at map, takes video"
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,IGNORED,,,
30-06-2023 16:24,greetings looking for some information or directions just ask me,"Hello! How can I assist you today? If you need any information or directions, feel free to ask.",,,34,
,,,IGNORED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
30-06-2023 16:25,hi I'm your friendly robot companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,35,
,,,IGNORED,,,
,,,IGNORED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,IGNORED,,,
30-06-2023 16:25,I never your friend me robot companion and here's a chance,"Hello there! It's great to meet you. I'm Pepper, your friendly robot companion here at the reception. How can I assist you today?",,,36,
30-06-2023 16:27,I never your friend me robot companion and here's a chance,"Hello there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,37,
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
30-06-2023 16:27,I just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today?",,,38,
,END,,,,,
30-06-2023 16:28,goodbye,"Goodbye! If you have any more questions in the future, feel free to ask. Have a great day!",,,39,
,,,,,,person takes video
,,,,,,picked up random noise as goodbye
30-06-2023 16:29,goodbye,"Goodbye! If you have any more questions or need assistance in the future, feel free to ask. Have a great day!",,,40,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
30-06-2023 16:29,hi and give her your friend me real bad companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,41,
,,,QUIT,,,
,,,QUIT,,,
,,,,,,stopping robot
